order_id,order_date,product_id,quantity,unit_price,discount_pct,city,channel
O100001,2024-07-01 20:00,P001,1,45,0,Makkah,app
O100002,2024-07-01 18:00,P001,1,45,0,Riyadh,app
O100003,2024-07-01 13:00,P001,2,45,0,Tabuk,app
O100004,2024-07-01 19:00,P001,2,45,0,Riyadh,web
O100005,2024-07-01 15:00,P001,2,45,0,Jeddah,app
O100006,2024-07-01 16:00,P001,1,45,0,Jeddah,web
O100007,2024-07-01 19:00,P001,2,45,0,Khobar,app
O100008,2024-07-01 20:00,P001,1,45,0,Riyadh,web
O100009,2024-07-01 21:00,P002,1,15,0,Dammam,app
O100010,2024-07-01 20:00,P002,2,15,0,Riyadh,web
O100011,2024-07-01 16:00,P002,1,15,0,Khobar,web
O100012,2024-07-01 17:00,P002,1,15,0,Makkah,app
O100013,2024-07-01 15:00,P002,2,15,0,Khobar,web
O100014,2024-07-01 11:00,P002,1,15,0,Jeddah,web
O100015,2024-07-01 19:00,P002,1,15,0,Jeddah,app
O100016,2024-07-01 12:00,P003,3,39,0,Riyadh,app
O100017,2024-07-01 12:00,P003,2,39,0,Riyadh,web
O100018,2024-07-01 09:00,P003,2,39,0,Riyadh,app
O100019,2024-07-01 17:00,P003,1,39,0,Makkah,app
O100020,2024-07-01 18:00,P004,1,59,0,Riyadh,app
O100021,2024-07-01 15:00,P004,1,59,0,Jeddah,app
O100022,2024-07-01 12:00,P004,1,59,0,Madinah,web
O100023,2024-07-01 18:00,P004,1,59,0,Dammam,app
O100024,2024-07-01 15:00,P004,1,59,0,Jeddah,web
O100025,2024-07-01 16:00,P005,1,189,0,Madinah,app
O100026,2024-07-01 11:00,P005,1,189,0,Riyadh,app
O100027,2024-07-01 20:00,P005,1,189,0,Riyadh,app
O100028,2024-07-01 14:00,P006,3,149,0,Jeddah,app
O100029,2024-07-01 17:00,P006,2,149,0,Abha,app
O100030,2024-07-01 23:00,P007,3,79,0,Khobar,web
O100031,2024-07-01 12:00,P007,1,79,0,Riyadh,app
O100032,2024-07-01 16:00,P007,3,79,0,Riyadh,web
O100033,2024-07-01 07:00,P007,1,79,0,Jeddah,app
O100034,2024-07-01 15:00,P007,2,79,0,Makkah,app
O100035,2024-07-01 19:00,P007,1,79,0,Jeddah,web
O100036,2024-07-01 12:00,P008,2,89,0,Riyadh,app
O100037,2024-07-01 13:00,P008,3,89,0,Khobar,app
O100038,2024-07-01 22:00,P008,2,89,0,Khobar,app
O100039,2024-07-01 12:00,P008,1,89,0,Khobar,app
O100040,2024-07-01 22:00,P008,1,89,0,Makkah,app
O100041,2024-07-01 23:00,P009,2,29,0,Riyadh,web
O100042,2024-07-01 15:00,P009,3,29,0,Riyadh,web
O100043,2024-07-01 18:00,P009,1,29,0,Riyadh,app
O100044,2024-07-01 18:00,P009,2,29,0,Jeddah,app
O100045,2024-07-01 16:00,P009,2,29,0,Riyadh,app
O100046,2024-07-01 11:00,P009,1,29,0,Khobar,web
O100047,2024-07-01 23:00,P010,1,119,0,Jeddah,app
O100048,2024-07-01 15:00,P010,2,119,0,Jeddah,app
O100049,2024-07-01 20:00,P010,1,119,0,Jeddah,app
O100050,2024-07-01 22:00,P010,2,119,0,Abha,app
O100051,2024-07-01 23:00,P010,1,119,0,Makkah,app
O100052,2024-07-01 13:00,P010,1,119,0,Madinah,web
O100053,2024-07-01 17:00,P010,2,119,0,Dammam,web
O100054,2024-07-01 09:00,P010,2,119,0,Riyadh,app
O100055,2024-07-01 19:00,P010,2,119,0,Khobar,app
O100056,2024-07-01 06:00,P011,2,99,0,Jeddah,app
O100057,2024-07-01 07:00,P011,2,99,0,Abha,web
O100058,2024-07-01 18:00,P011,1,99,0,Jeddah,app
O100059,2024-07-01 18:00,P011,2,99,0,Madinah,web
O100060,2024-07-01 13:00,P012,2,25,0,Madinah,app
O100061,2024-07-01 20:00,P012,1,25,10,Tabuk,web
O100062,2024-07-01 07:00,P012,2,25,0,Dammam,app
O100063,2024-07-01 09:00,P012,1,25,0,Riyadh,app
O100064,2024-07-01 19:00,P012,1,25,0,Madinah,web
O100065,2024-07-01 14:00,P012,4,25,0,Khobar,web
O100066,2024-07-01 13:00,P013,2,69,0,Riyadh,app
O100067,2024-07-01 19:00,P013,1,69,0,Riyadh,web
O100068,2024-07-01 11:00,P013,1,69,0,Riyadh,app
O100069,2024-07-01 16:00,P014,1,19,0,Madinah,app
O100070,2024-07-01 10:00,P014,2,19,0,Riyadh,web
O100071,2024-07-01 10:00,P014,2,19,10,Riyadh,app
O100072,2024-07-01 08:00,P014,1,19,0,Riyadh,web
O100073,2024-07-01 14:00,P014,1,19,10,Madinah,app
O100074,2024-07-01 22:00,P014,2,19,0,Riyadh,app
O100075,2024-07-01 17:00,P015,1,129,0,Riyadh,web
O100076,2024-07-01 16:00,P015,1,129,0,Jeddah,app
O100077,2024-07-01 11:00,P015,1,129,0,Riyadh,app
O100078,2024-07-01 12:00,P015,1,129,0,Dammam,app
O100079,2024-07-01 19:00,P015,2,129,0,Madinah,app
O100080,2024-07-01 18:00,P016,1,99,0,Khobar,app
O100081,2024-07-01 21:00,P016,1,99,0,Riyadh,web
O100082,2024-07-01 21:00,P016,1,99,0,Madinah,web
O100083,2024-07-01 23:00,P016,2,99,0,Riyadh,app
O100084,2024-07-01 14:00,P016,1,99,0,Tabuk,app
O100085,2024-07-01 09:00,P016,1,99,0,Jeddah,app
O100086,2024-07-01 18:00,P016,1,99,0,Riyadh,web
O100087,2024-07-01 23:00,P017,2,59,0,Riyadh,web
O100088,2024-07-01 09:00,P017,2,59,0,Riyadh,app
O100089,2024-07-01 13:00,P017,2,59,0,Riyadh,app
