product_id,product_name,category,cost_price,launch_date
P001,"Saudi flag (large, outdoor)",Décor,18,2023-05-01
P002,Saudi flag (desk size),Décor,5,2023-05-01
P003,Green LED string lights 10m,Décor,14,2023-08-10
P004,National Day balloon & banner kit,Décor,22,2023-08-10
P005,Falcon wall art (metal),Décor,80,2023-11-02
P006,Arabic calligraphy canvas,Décor,60,2023-06-15
P007,Scented candle set (oud),Décor,30,2023-04-20
P008,Table runner (sadu pattern),Décor,35,2024-01-10
P009,SA flag mug,Gifts,10,2023-05-01
P010,'This is our home' gift box,Gifts,48,2023-09-01
P011,Dates & chocolate tray,Gifts,42,2023-03-15
P012,Personalized keychain (name),Gifts,8,2023-07-07
P013,Coffee dallah miniature,Gifts,28,2023-10-05
P014,Green & white gift wrap set,Gifts,6,2023-08-20
P015,Kids national dress (thobe+shemagh),Apparel,55,2024-06-01
P016,Green hoodie (unisex),Apparel,40,2023-12-01
P017,'KSA 96' t-shirt,Apparel,20,2023-08-25
P018,Sadu-pattern scarf,Apparel,30,2024-02-14
P019,Green cap (embroidered),Apparel,16,2023-08-25
P020,Face-paint & stickers pack,Accessories,7,2023-09-01
P021,Car flag holder (pair),Accessories,12,2023-09-01
P022,Phone case (falcon design),Accessories,15,2023-05-30
P023,Green LED wristbands (5-pack),Accessories,5,2024-07-15
P024,Picnic mat (family size),Accessories,36,2024-03-03
P025,Projection lamp (KSA landmarks),Décor,58,2026-06-15
